emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept_no,dept_name
10498,Valter,Cappelletti,9/15/1964,3/9/1994,1/1/9999,Engineer,d004,Production
10507,Kasidit,Belinskaya,2/18/1964,9/30/1990,1/1/9999,Senior Staff,d003,Human Resources
10520,Jenwei,Ecklund,3/6/1964,9/5/1996,1/1/9999,Senior Engineer,d004,Production
10527,Tetsushi,Barvinok,9/15/1964,1/25/1996,1/1/9999,Technique Leader,d005,Development
10536,Yechiam,Sambasivam,10/29/1964,10/7/1988,1/1/9999,Senior Staff,d007,Sales
10553,Rajmohan,Wallrath,2/8/1964,7/22/1990,1/1/9999,Engineer,d005,Development
10558,Hisao,Famili,10/8/1964,4/22/1992,1/1/9999,Senior Engineer,d004,Production
10573,Tetsushi,Speel,2/23/1964,8/20/1999,1/1/9999,Staff,d007,Sales
10592,Almudena,Alvarado,8/1/1964,9/27/1993,1/1/9999,Staff,d007,Sales
10595,Giri,Undy,12/10/1964,11/24/1989,1/1/9999,Senior Engineer,d004,Production
10606,Toshiki,Marakhovsky,3/4/1964,5/2/1987,1/1/9999,Engineer,d005,Development
10607,Rosalyn,Hambrick,11/30/1964,1/13/1996,1/1/9999,Engineer,d005,Development
10611,Karsten,Blokdijk,5/11/1964,9/16/1989,1/1/9999,Senior Engineer,d005,Development
10666,Zhonghua,Reeker,10/3/1964,5/20/1989,1/1/9999,Senior Staff,d002,Finance
10681,Florina,Garnier,12/25/1964,1/8/2002,1/1/9999,Staff,d001,Marketing
10688,Xiaopeng,Lanphier,2/28/1964,4/13/1986,1/1/9999,Senior Staff,d002,Finance
10699,Hatim,Deverell,2/2/1964,11/17/1985,1/1/9999,Engineer,d006,Quality Management
10721,Bernd,Redmiles,7/12/1964,7/15/1999,1/1/9999,Staff,d009,Customer Service
10723,Eckart,Harnett,1/14/1964,7/14/1997,1/1/9999,Technique Leader,d004,Production
10735,Morrie,Gewali,9/12/1964,10/29/1985,1/1/9999,Senior Staff,d009,Customer Service
10748,Yuchang,Francisci,4/12/1964,4/4/1992,1/1/9999,Senior Staff,d003,Human Resources
10752,Byong,Conde,7/18/1964,5/28/1993,1/1/9999,Senior Engineer,d006,Quality Management
10766,Nathalie,Standera,6/10/1964,9/18/1999,1/1/9999,Staff,d003,Human Resources
10786,Patricia,dAstous,5/19/1964,12/10/2001,1/1/9999,Senior Engineer,d006,Quality Management
10789,Aruna,Journel,5/19/1964,1/26/1998,1/1/9999,Staff,d009,Customer Service
10804,Terresa,Benantar,2/20/1964,6/9/1997,1/1/9999,Staff,d007,Sales
10807,Munehiro,Zallocco,6/23/1964,10/19/1999,1/1/9999,Senior Staff,d007,Sales
10832,Hidde,Bergere,8/29/1964,10/11/1986,1/1/9999,Senior Staff,d007,Sales
10839,Gurbir,Katiyar,4/2/1964,12/30/1996,1/1/9999,Assistant Engineer,d004,Production
10853,Yoshinari,Kalloufi,3/22/1964,5/3/1993,1/1/9999,Technique Leader,d006,Quality Management
10877,Subir,Biron,9/11/1964,6/6/1986,1/1/9999,Senior Staff,d001,Marketing
10886,Sushant,Begiun,9/30/1964,3/26/1995,1/1/9999,Engineer,d005,Development
10896,Adil,Taubenfeld,4/12/1964,11/27/1997,1/1/9999,Engineer,d004,Production
10937,Anyuan,Nanard,9/11/1964,5/3/1991,1/1/9999,Engineer,d004,Production
10939,Matk,Akazan,7/13/1964,12/11/1997,1/1/9999,Assistant Engineer,d006,Quality Management
10954,Ranga,Burnard,11/16/1964,12/14/1995,1/1/9999,Staff,d009,Customer Service
10982,Yishay,Decleir,2/27/1964,11/11/1989,1/1/9999,Senior Staff,d008,Research
11022,Apostol,Pintelas,2/2/1964,10/18/1993,1/1/9999,Senior Staff,d009,Customer Service
11023,Yifei,Driscoll,1/8/1964,6/12/1990,1/1/9999,Senior Staff,d007,Sales
11041,Stamatina,Matheson,1/12/1964,1/29/1998,1/1/9999,Senior Engineer,d006,Quality Management
11109,Chinho,Stamatiou,11/5/1964,3/29/1985,1/1/9999,Senior Staff,d007,Sales
11122,Aleksandar,Randi,8/12/1964,10/15/1995,1/1/9999,Senior Staff,d002,Finance
11136,Gladys,Luiz,6/1/1964,12/6/1990,1/1/9999,Engineer,d005,Development
11142,Moheb,Raney,11/19/1964,11/4/1993,1/1/9999,Engineer,d005,Development
11149,Domenico,Imataki,6/28/1964,8/26/1987,1/1/9999,Senior Staff,d007,Sales
11193,Val,Kumaresan,8/13/1964,1/28/1998,1/1/9999,Senior Staff,d003,Human Resources
11200,Renny,Junet,6/5/1964,4/8/1995,1/1/9999,Technique Leader,d005,Development
11202,Marek,Ranon,11/1/1964,2/26/1996,1/1/9999,Senior Staff,d003,Human Resources
11209,Xuejun,Penn,6/25/1964,2/8/2000,1/1/9999,Engineer,d009,Customer Service
11235,Larisa,Schueller,11/13/1964,11/9/1998,1/1/9999,Senior Engineer,d004,Production
11246,Maik,Reinhart,11/16/1964,6/3/1998,1/1/9999,Engineer,d004,Production
11264,Uma,Oehlmann,3/15/1964,10/9/1986,1/1/9999,Engineer,d005,Development
11282,Josyula,Schaad,1/31/1964,6/9/1997,1/1/9999,Staff,d007,Sales
11283,Shmuel,Codenie,2/25/1964,6/30/1987,1/1/9999,Senior Staff,d002,Finance
11286,Joydip,Gini,12/4/1964,2/16/1988,1/1/9999,Senior Staff,d007,Sales
11318,Gopalakrishnan,Unno,9/9/1964,1/25/1986,1/1/9999,Senior Staff,d007,Sales
11345,Youngkon,Maierhofer,8/11/1964,11/25/1998,1/1/9999,Engineer,d005,Development
11383,Billur,Herbst,2/22/1964,11/26/1999,1/1/9999,Staff,d003,Human Resources
11394,Masadi,Uhrik,1/2/1964,12/20/1988,1/1/9999,Senior Staff,d009,Customer Service
11440,Lubomir,Jahnichen,12/7/1964,3/3/1994,1/1/9999,Engineer,d005,Development
11466,Naftali,Koshino,1/4/1964,7/2/1989,1/1/9999,Engineer,d004,Production
11482,Uri,Deverell,10/16/1964,4/3/1991,1/1/9999,Senior Staff,d007,Sales
11495,Shin,Barriga,1/2/1964,9/13/1989,1/1/9999,Senior Staff,d007,Sales
11511,Arlette,Mikschl,6/2/1964,5/28/1997,1/1/9999,Assistant Engineer,d004,Production
11544,Elzbieta,Thimonier,9/5/1964,10/22/1996,1/1/9999,Senior Staff,d002,Finance
11546,Duro,Vuskovic,12/22/1964,6/30/1987,1/1/9999,Senior Staff,d007,Sales
11566,Martina,Quittner,10/7/1964,1/9/1995,1/1/9999,Engineer,d004,Production
11598,Sariel,Ertl,6/7/1964,4/2/1994,1/1/9999,Engineer,d005,Development
11618,Gian,Juneja,2/8/1964,8/13/2001,1/1/9999,Staff,d001,Marketing
11623,Becky,Jullig,3/18/1964,3/5/1990,1/1/9999,Engineer,d004,Production
11627,Zeljko,Schreiter,9/24/1964,10/31/1998,1/1/9999,Engineer,d004,Production
11635,Nalini,Mahnke,7/13/1964,10/13/1989,1/1/9999,Engineer,d005,Development
11638,JoAnne,Falco,4/28/1964,1/17/1996,1/1/9999,Engineer,d006,Quality Management
11639,Khatoun,Herath,5/2/1964,2/18/1987,1/1/9999,Engineer,d005,Development
11670,Evgueni,Kroon,9/25/1964,5/17/1985,1/1/9999,Senior Staff,d003,Human Resources
11704,Naftali,Baalen,11/9/1964,4/4/1999,1/1/9999,Engineer,d004,Production
11707,Tooru,Hettesheimer,7/18/1964,4/7/1994,1/1/9999,Engineer,d005,Development
11745,Janche,Bahi,7/3/1964,12/12/1999,1/1/9999,Staff,d008,Research
11752,Bingning,Etalle,11/11/1964,11/10/1992,1/1/9999,Senior Staff,d001,Marketing
11757,Jackson,Meriste,5/22/1964,4/7/1987,1/1/9999,Senior Engineer,d005,Development
11761,Bartek,Aamodt,7/17/1964,6/12/1991,1/1/9999,Senior Staff,d002,Finance
11766,Nimmagadda,Berztiss,10/10/1964,10/27/1987,1/1/9999,Engineer,d005,Development
11768,Krassimir,Erol,6/9/1964,4/25/1991,1/1/9999,Assistant Engineer,d004,Production
11781,Tua,Pluym,11/29/1964,12/4/1997,1/1/9999,Staff,d007,Sales
11794,Atreye,Ghandeharizadeh,10/25/1964,9/4/1992,1/1/9999,Engineer,d005,Development
11798,Kwan,Quaggetto,8/14/1964,12/10/1987,1/1/9999,Senior Staff,d002,Finance
11799,Duro,Silva,3/25/1964,3/6/1996,1/1/9999,Assistant Engineer,d005,Development
11816,Masako,Besselaar,4/26/1964,8/5/1991,1/1/9999,Senior Staff,d002,Finance
11826,Carrsten,Rotem,2/20/1964,7/6/1988,1/1/9999,Engineer,d004,Production
11850,Bikash,Maginnis,10/23/1964,2/10/1991,1/1/9999,Senior Staff,d007,Sales
11898,Jinya,Piveteau,10/29/1964,12/1/1996,1/1/9999,Engineer,d004,Production
11912,Kristian,Giaccio,8/15/1964,10/6/1994,1/1/9999,Senior Engineer,d004,Production
11955,Domenico,Eastman,10/17/1964,4/25/1995,1/1/9999,Senior Engineer,d005,Development
11968,Mitchel,Dayang,8/13/1964,8/8/1995,1/1/9999,Engineer,d005,Development
11981,LiMin,Horswill,4/11/1964,9/14/1990,1/1/9999,Engineer,d005,Development
11990,Chanjung,Matheson,11/24/1964,9/5/1988,1/1/9999,Engineer,d005,Development
12039,Kazuhide,Junet,12/3/1964,4/4/1988,1/1/9999,Senior Staff,d009,Customer Service
12058,Qunsheng,Khamsi,2/18/1964,8/6/1991,1/1/9999,Engineer,d005,Development
12065,Moto,Roohalamini,4/10/1964,6/18/1987,1/1/9999,Engineer,d004,Production
12085,Hugh,Rouquie,4/1/1964,7/3/1986,1/1/9999,Senior Staff,d009,Customer Service
12096,Weiwu,Schlenzig,4/12/1964,8/17/1994,1/1/9999,Senior Staff,d002,Finance
12107,Manibrata,Antonisse,10/15/1964,1/27/1997,1/1/9999,Engineer,d005,Development
12124,Jingling,Schaaf,8/1/1964,7/14/1989,1/1/9999,Senior Staff,d008,Research
12139,Guangming,Senzako,10/31/1964,3/7/1994,1/1/9999,Engineer,d004,Production
12152,Amalendu,Nyrup,1/18/1964,8/16/2000,1/1/9999,Senior Staff,d009,Customer Service
12169,Arnd,Broomell,11/30/1964,11/29/1994,1/1/9999,Staff,d003,Human Resources
12176,Christoper,Holburn,12/18/1964,7/5/1994,1/1/9999,Engineer,d005,Development
12225,Yongqiao,Narahara,7/10/1964,1/27/1999,1/1/9999,Staff,d007,Sales
12245,Christ,Baba,10/31/1964,11/27/1998,1/1/9999,Engineer,d004,Production
12246,Gill,Rehfuss,1/17/1964,1/26/1990,1/1/9999,Senior Staff,d003,Human Resources
12285,Stepehn,Erman,12/30/1964,2/21/1991,1/1/9999,Engineer,d004,Production
12307,Sarita,Schlumberger,9/15/1964,2/23/1985,1/1/9999,Engineer,d005,Development
12310,Chandrasekaran,Pettit,8/4/1964,12/21/1990,1/1/9999,Engineer,d005,Development
12333,Gino,Peck,5/1/1964,4/12/1997,1/1/9999,Engineer,d005,Development
12350,Somnath,Swan,3/12/1964,8/25/1996,1/1/9999,Senior Engineer,d006,Quality Management
12386,Godehard,Litecky,1/31/1964,10/19/1993,1/1/9999,Engineer,d005,Development
12390,Kwangsub,Kilgour,4/22/1964,7/9/1997,1/1/9999,Staff,d007,Sales
12404,Manu,Kulisch,11/16/1964,12/14/1985,1/1/9999,Engineer,d004,Production
12405,Zhanqiu,Kambil,4/6/1964,7/16/1989,1/1/9999,Assistant Engineer,d005,Development
12432,Fumino,Delgrange,8/28/1964,7/3/1991,1/1/9999,Technique Leader,d004,Production
12446,Xiaoqiang,Keustermans,1/5/1964,11/6/1987,1/1/9999,Senior Staff,d009,Customer Service
12449,Honesty,Iisaku,4/20/1964,6/18/1995,1/1/9999,Senior Staff,d003,Human Resources
12461,Tesuro,Silva,6/1/1964,8/15/1998,1/1/9999,Senior Engineer,d005,Development
12467,Zhiwei,Bennis,6/18/1964,1/7/1999,1/1/9999,Technique Leader,d004,Production
12486,Joydip,Morrin,9/8/1964,10/16/1996,1/1/9999,Senior Engineer,d006,Quality Management
12511,Frederique,Lueh,11/1/1964,2/1/1993,1/1/9999,Assistant Engineer,d004,Production
12535,Kazuhiko,Bergere,11/4/1964,2/22/1991,1/1/9999,Technique Leader,d005,Development
12544,Kankanahalli,Hartvigsen,10/13/1964,4/9/1995,1/1/9999,Engineer,d004,Production
12546,Luisa,Shobatake,3/10/1964,6/5/1988,1/1/9999,Senior Staff,d001,Marketing
12548,Chenxi,Baak,6/25/1964,6/28/1990,1/1/9999,Engineer,d005,Development
12549,Krister,Onuegbe,12/19/1964,9/15/1998,1/1/9999,Staff,d003,Human Resources
12565,Theron,Mullainathan,5/19/1964,6/16/1989,1/1/9999,Senior Staff,d007,Sales
12572,Sungwon,McConalogue,5/3/1964,11/23/1995,1/1/9999,Engineer,d005,Development
12577,Takushi,Schrift,5/9/1964,10/13/2000,1/1/9999,Engineer,d009,Customer Service
12578,Tamiya,Perin,1/22/1964,7/28/1986,1/1/9999,Senior Staff,d009,Customer Service
12605,Petter,Feldmann,10/26/1964,2/19/1990,1/1/9999,Senior Staff,d007,Sales
12647,Niclas,Sankaranarayanan,4/7/1964,8/10/1999,1/1/9999,Staff,d008,Research
12711,Yechiam,Jiafu,8/12/1964,11/21/1986,1/1/9999,Senior Staff,d008,Research
12724,Parke,Lammel,7/5/1964,2/17/1999,1/1/9999,Staff,d007,Sales
12757,Karlis,Cooke,10/31/1964,6/24/1995,1/1/9999,Engineer,d009,Customer Service
12762,Jaroslava,Koblitz,4/27/1964,9/25/1992,1/1/9999,Technique Leader,d005,Development
12771,Erez,Luks,2/6/1964,6/2/1988,1/1/9999,Senior Staff,d009,Customer Service
12797,Takushi,Turnbull,4/27/1964,11/5/1991,1/1/9999,Senior Engineer,d005,Development
12874,Patricio,Ramamoorthy,3/5/1964,2/12/1995,1/1/9999,Senior Staff,d003,Human Resources
12884,Paddy,Zyda,9/28/1964,11/9/1988,1/1/9999,Assistant Engineer,d005,Development
12920,Tetsushi,Legleitner,5/6/1964,11/23/1998,1/1/9999,Senior Engineer,d005,Development
12942,Maia,Dalphin,11/9/1964,8/17/1995,1/1/9999,Engineer,d006,Quality Management
12954,Dinkar,Walston,11/10/1964,5/8/1986,1/1/9999,Senior Staff,d007,Sales
12990,Kristina,Benaini,6/8/1964,7/12/1985,1/1/9999,Engineer,d006,Quality Management
12996,Khalil,Madeira,12/7/1964,8/26/1992,1/1/9999,Senior Staff,d007,Sales
13018,Toshimi,Moehrke,3/14/1964,5/10/1987,1/1/9999,Senior Staff,d007,Sales
13036,Idoia,Heystek,7/14/1964,4/23/1998,1/1/9999,Staff,d007,Sales
13063,Troy,Shokrollahi,11/17/1964,1/2/1994,1/1/9999,Staff,d001,Marketing
13089,Fumiko,Viele,2/20/1964,12/29/1995,1/1/9999,Engineer,d005,Development
13094,Sanjay,Servieres,12/19/1964,11/19/1998,1/1/9999,Engineer,d008,Research
13100,Guenter,Roison,4/19/1964,1/22/1991,1/1/9999,Assistant Engineer,d004,Production
13114,Nikolaus,Bressoud,6/28/1964,10/13/1994,1/1/9999,Staff,d003,Human Resources
13115,Jianhua,Comellas,5/6/1964,8/21/1995,1/1/9999,Senior Staff,d007,Sales
13123,Hatem,Miake,7/26/1964,12/19/1997,1/1/9999,Engineer,d005,Development
13129,Martijn,Sigstam,4/15/1964,11/17/1997,1/1/9999,Senior Staff,d001,Marketing
13162,Shaw,Goodrum,12/26/1964,5/19/1989,1/1/9999,Senior Staff,d007,Sales
13176,Pranas,Thiria,11/28/1964,9/7/1990,1/1/9999,Senior Staff,d007,Sales
13195,Toshiki,Baak,6/29/1964,3/2/1986,1/1/9999,Engineer,d004,Production
13219,Wojceich,Constantine,11/10/1964,6/22/1988,1/1/9999,Technique Leader,d004,Production
13231,Pohua,Sessa,5/5/1964,10/23/1993,1/1/9999,Engineer,d005,Development
13242,Kazuhiko,Ecklund,10/17/1964,12/6/1994,1/1/9999,Engineer,d004,Production
13244,Khosrow,Yoshizawa,10/27/1964,9/2/1996,1/1/9999,Senior Staff,d004,Production
13251,Otilia,Lakshmanan,6/28/1964,5/24/1992,1/1/9999,Assistant Engineer,d006,Quality Management
13254,Chuanti,Thibadeau,11/8/1964,1/20/1998,1/1/9999,Engineer,d004,Production
13268,Munehiro,Yurov,4/29/1964,11/4/1992,1/1/9999,Senior Staff,d007,Sales
13274,Valery,Anguita,6/11/1964,4/24/1998,1/1/9999,Assistant Engineer,d004,Production
13314,Vasilis,Schlegelmilch,1/23/1964,4/14/1993,1/1/9999,Senior Staff,d003,Human Resources
13317,Iara,Magliocco,4/29/1964,10/2/1999,1/1/9999,Engineer,d005,Development
13319,Manton,Schwaller,2/15/1964,1/13/1998,1/1/9999,Engineer,d005,Development
13326,Mario,Comte,2/14/1964,6/22/1996,1/1/9999,Senior Staff,d003,Human Resources
13328,Khedija,Vilarrasa,10/25/1964,10/27/1997,1/1/9999,Staff,d009,Customer Service
13330,Sarita,Litvinov,8/31/1964,8/19/1993,1/1/9999,Engineer,d004,Production
13335,Val,Akaboshi,5/5/1964,6/10/1997,1/1/9999,Staff,d007,Sales
13348,Leaf,Wiegley,4/25/1964,8/6/1989,1/1/9999,Senior Staff,d001,Marketing
13360,Krassimir,Michaels,9/30/1964,2/23/1999,1/1/9999,Assistant Engineer,d005,Development
13370,Nidapan,Macedo,8/22/1964,6/23/1990,1/1/9999,Senior Staff,d009,Customer Service
13382,Makato,Domenig,10/31/1964,12/25/1994,1/1/9999,Engineer,d005,Development
13397,Nimmagadda,Wilfing,5/13/1964,6/25/1987,1/1/9999,Senior Staff,d003,Human Resources
13419,Bouchung,Leivant,11/6/1964,5/25/1996,1/1/9999,Senior Staff,d007,Sales
13483,Arco,Ananiadou,4/20/1964,1/9/1990,1/1/9999,Engineer,d004,Production
13484,Kristina,Setlzner,9/5/1964,1/1/1993,1/1/9999,Senior Staff,d003,Human Resources
13494,Domenico,Baca,4/7/1964,10/7/1985,1/1/9999,Engineer,d004,Production
13518,Girolamo,Gill,8/10/1964,11/17/1993,1/1/9999,Staff,d003,Human Resources
13528,Fumitaka,Liesche,2/21/1964,2/3/2002,1/1/9999,Senior Staff,d001,Marketing
13533,Lorien,Crouzet,1/29/1964,4/21/1993,1/1/9999,Senior Staff,d003,Human Resources
13534,Shushma,Coullard,4/12/1964,12/31/1996,1/1/9999,Engineer,d005,Development
13555,Lijia,Matteis,8/20/1964,11/7/1988,1/1/9999,Senior Staff,d007,Sales
13558,Raimond,Molberg,10/13/1964,6/10/1987,1/1/9999,Senior Staff,d008,Research
13572,Honglan,Beutelspacher,3/13/1964,9/15/1986,1/1/9999,Senior Staff,d001,Marketing
13599,Gor,Versino,9/24/1964,11/12/1992,1/1/9999,Senior Staff,d007,Sales
13644,Shmuel,Spataro,2/25/1964,4/25/2001,1/1/9999,Engineer,d008,Research
13656,Oldrich,Ferretti,8/19/1964,7/17/1995,1/1/9999,Senior Staff,d007,Sales
13669,Hidde,Peng,11/19/1964,11/5/1998,1/1/9999,Assistant Engineer,d004,Production
13686,Parke,Sadowsky,4/18/1964,9/16/1990,1/1/9999,Senior Staff,d002,Finance
13720,Rildo,Braccini,7/13/1964,3/1/1989,1/1/9999,Senior Staff,d007,Sales
13728,Insup,Swab,5/23/1964,1/3/1986,1/1/9999,Engineer,d004,Production
13729,Shahab,Farrel,7/30/1964,10/12/1988,1/1/9999,Engineer,d005,Development
13765,Raimond,Mitzlaff,7/27/1964,7/18/1990,1/1/9999,Senior Staff,d003,Human Resources
13793,Mokhtar,Rosar,9/26/1964,3/4/1990,1/1/9999,Engineer,d004,Production
13802,Saniya,Benzmuller,1/8/1964,11/18/1998,1/1/9999,Senior Staff,d002,Finance
13806,Abdelwaheb,Nitsch,2/9/1964,2/5/1990,1/1/9999,Engineer,d005,Development
13816,Miquel,Maksimenko,3/9/1964,9/17/1992,1/1/9999,Engineer,d005,Development
13823,Ebru,Montemayor,7/7/1964,7/6/1993,1/1/9999,Technique Leader,d005,Development
13844,Jianhua,Vural,5/24/1964,6/28/1995,1/1/9999,Staff,d001,Marketing
13860,Wojceich,Papastamatiou,9/18/1964,7/27/1988,1/1/9999,Senior Staff,d001,Marketing
13866,Macha,Fargier,2/28/1964,12/25/1999,1/1/9999,Staff,d007,Sales
13876,Fatemeh,Swan,9/5/1964,5/3/1995,1/1/9999,Senior Staff,d003,Human Resources
13878,Shigeaki,Eiron,3/19/1964,9/11/1990,1/1/9999,Senior Staff,d007,Sales
13879,Valery,Ambroszkiewicz,11/16/1964,10/5/1989,1/1/9999,Engineer,d004,Production
13908,Nechama,Koprowski,12/21/1964,11/26/1987,1/1/9999,Senior Engineer,d004,Production
13956,Arvind,Kusakabe,2/4/1964,6/16/1996,1/1/9999,Engineer,d004,Production
13961,Munir,Hempstead,6/22/1964,10/1/1988,1/1/9999,Senior Engineer,d004,Production
13968,Selwyn,Unni,9/9/1964,9/7/1993,1/1/9999,Technique Leader,d005,Development
14025,Stevo,Takanami,8/3/1964,8/7/2001,1/1/9999,Staff,d007,Sales
14043,Manohar,Dulin,6/25/1964,1/21/1993,1/1/9999,Technique Leader,d006,Quality Management
14053,Kazuhiro,Haraldson,1/10/1964,5/13/1996,1/1/9999,Senior Staff,d005,Development
14062,Khalid,Luon,12/16/1964,11/13/2000,1/1/9999,Engineer,d004,Production
14081,Alain,Fontet,5/4/1964,9/4/1998,1/1/9999,Senior Staff,d007,Sales
14095,Tonia,Underwood,8/4/1964,12/3/1988,1/1/9999,Senior Staff,d007,Sales
14177,Gino,Stille,8/1/1964,3/16/1996,1/1/9999,Senior Staff,d001,Marketing
14185,Garnik,Swiler,11/6/1964,8/1/1988,1/1/9999,Senior Staff,d001,Marketing
14189,Nahla,Tsukuda,8/7/1964,9/5/1997,1/1/9999,Staff,d001,Marketing
14190,Leon,Tomescu,7/23/1964,3/13/1989,1/1/9999,Engineer,d004,Production
14193,Lucien,Kornyak,2/23/1964,3/26/1997,1/1/9999,Assistant Engineer,d005,Development
14194,Vidya,Schiettecatte,3/6/1964,12/27/1998,1/1/9999,Assistant Engineer,d005,Development
14201,Chirstian,Carrere,7/3/1964,7/1/1995,1/1/9999,Senior Engineer,d005,Development
14231,Serenella,Madeira,9/15/1964,3/12/1999,1/1/9999,Engineer,d004,Production
14239,Martijn,Wallrath,9/24/1964,10/16/1989,1/1/9999,Senior Staff,d001,Marketing
14255,Shigeo,Tramer,5/7/1964,2/28/1994,1/1/9999,Senior Staff,d002,Finance
14271,Rosita,Bernatsky,5/17/1964,2/17/1989,1/1/9999,Senior Staff,d009,Customer Service
14278,Kazuhiro,Schapiro,10/25/1964,11/29/1991,1/1/9999,Senior Staff,d007,Sales
14286,Chenxi,Rodite,10/20/1964,4/2/1999,1/1/9999,Engineer,d005,Development
14334,Pradeep,Waleschkowski,12/15/1964,7/6/1988,1/1/9999,Engineer,d004,Production
14343,Pranav,Rotem,4/22/1964,6/29/1994,1/1/9999,Senior Staff,d007,Sales
14352,Sudhanshu,Braccini,7/3/1964,10/6/1996,1/1/9999,Senior Engineer,d004,Production
14356,Remko,Zeidenstein,4/15/1964,6/4/1985,1/1/9999,Senior Engineer,d004,Production
14381,Danco,Weedon,6/11/1964,6/21/1998,1/1/9999,Staff,d007,Sales
14396,Charmane,Gubsky,12/17/1964,10/26/1989,1/1/9999,Senior Staff,d007,Sales
14451,Hirochika,Tagansky,5/20/1964,7/19/1995,1/1/9999,Engineer,d004,Production
14459,Aruna,Boreale,9/21/1964,6/4/1997,1/1/9999,Technique Leader,d005,Development
14468,Unal,Ertl,12/3/1964,9/2/1992,1/1/9999,Senior Staff,d007,Sales
14477,Frederique,Coors,7/21/1964,9/30/1994,1/1/9999,Senior Staff,d002,Finance
14479,Thodoros,Suessmith,8/22/1964,11/27/1991,1/1/9999,Senior Staff,d001,Marketing
14503,Bernd,Beerel,6/4/1964,9/7/1989,1/1/9999,Senior Engineer,d004,Production
14504,Lidong,Sidje,2/27/1964,1/12/1998,1/1/9999,Senior Staff,d004,Production
14517,Kwangho,Hatcliff,2/28/1964,4/7/1997,1/1/9999,Senior Engineer,d005,Development
14519,Xiong,Usery,10/23/1964,9/14/1996,1/1/9999,Staff,d007,Sales
14523,Leif,Busillo,6/13/1964,7/21/1994,1/1/9999,Senior Staff,d007,Sales
14541,Suebskul,Terwilliger,12/26/1964,4/25/1996,1/1/9999,Senior Staff,d007,Sales
14584,Oldrich,Undy,6/11/1964,1/18/1999,1/1/9999,Engineer,d004,Production
14592,Paddy,Keohane,3/31/1964,10/26/1993,1/1/9999,Engineer,d004,Production
14598,Brigham,Dusink,4/21/1964,7/14/1991,1/1/9999,Engineer,d005,Development
14618,Cedric,Brlek,9/4/1964,12/26/1989,1/1/9999,Senior Staff,d007,Sales
14671,Elliott,Perri,2/23/1964,8/5/1987,1/1/9999,Engineer,d004,Production
14672,Parto,Pietracaprina,7/1/1964,5/21/1995,1/1/9999,Senior Staff,d005,Development
14694,Nigel,Suessmith,4/23/1964,6/27/1993,1/1/9999,Engineer,d004,Production
14698,Kirk,Kambil,3/13/1964,7/2/1992,1/1/9999,Senior Staff,d002,Finance
14702,Shrikanth,Keustermans,12/18/1964,5/4/1998,1/1/9999,Engineer,d006,Quality Management
14731,Hyuckchul,Roccetti,2/27/1964,10/5/1997,1/1/9999,Staff,d009,Customer Service
